Exp,Date,Angle,Start_Traffic,Mid_Traffic,End_Traffic,Traffic_Mean,Prey,Mu,Bidirection,Prey_Prop,A,Area_Scaling_Factor,SlipFalls_Start,SlipFalls_End,Stable_struct,Used_for_MEM,Used_for_Slips_Falls,Used_for_Growth_Curves,Start_Ants_L,Start_Ants_R,Start_Ants_Total,Mid_Ants_L,Mid_Ants_R,Mid_Ants_Total,End_Ants_L,End_Ants_R,End_Ants_Total,Total_L_Count,Total_R_Count,Prop_L,Prop_R,Model_Fit_IDX,,Ants_Crossing_0_120s,Ants_Joining_0_120s,Total_Slip_Join,P_Slip,P_S_S,P_Slip_Mean_Traffic,,,Rnd_Seed_Multistart,PcSS_Est,S_0_Est,PcSS_Lower,PcSS_Upper,S_0_Lower,S_0_Upper,,,,,,,
40_2-5_3,5-Feb-2015,40,3.50,3.93,4.37,3.93,0.193,3.74,0.9492,0.0491,9,383.551,4,5,Y,Y,Y,Y,97,8,105,114,4,118,125,6,131,336,18,0.949,0.051,2,,420,11,15,0.036,0.733,0.032,,,,0.2427,0.0337,0.3618,0.4136,0.0159,0.0199,,,,,,,
40_2-5_2,5-Feb-2015,40,6.40,5.50,6.03,5.98,0.130,5.85,0.9870,0.0217,2,415.578,9,6,N,Y,Y,Y,190,2,192,165,0,165,176,5,181,531,7,0.987,0.013,NA,,768,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-5_1,5-Feb-2015,40,1.90,2.67,1.93,2.17,0.328,1.84,0.8872,0.1514,13,355.63,3,4,Y,Y,Y,Y,48,9,57,72,8,80,53,5,58,173,22,0.887,0.113,1,,228,6,9,0.039,0.667,0.035,,,,0.3651,0.0224,,,,,,,,,,,
30_2-6_6,6-Feb-2015,30,8.30,7.93,8.03,8.09,0.240,7.85,0.9835,0.0297,3,NA,1,1,N,Y,Y,N,243,6,249,235,3,238,238,3,241,716,12,0.984,0.016,NA,,996,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-6_5,6-Feb-2015,30,7.67,6.37,8.97,7.67,0.148,7.52,0.9928,0.0193,0,NA,2,0,N,Y,Y,N,228,2,230,189,2,191,268,1,269,685,5,0.993,0.007,NA,,920,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-6_4,6-Feb-2015,30,6.73,8.50,9.83,8.36,0.110,8.25,0.9907,0.0132,1,270.903,0,1,N,Y,Y,Y,201,1,202,253,2,255,291,4,295,745,7,0.991,0.009,NA,,808,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-6_3,6-Feb-2015,30,4.43,6.03,7.13,5.87,0.228,5.64,0.9754,0.0389,2,495.924,3,1,N,Y,Y,Y,129,4,133,177,4,181,209,5,214,515,13,0.975,0.025,NA,,532,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-6_2,6-Feb-2015,30,3.20,2.60,3.80,3.20,0.248,2.95,0.7708,0.0775,2,1005.963,0,1,N,Y,Y,Y,66,30,96,59,19,78,97,17,114,222,66,0.771,0.229,NA,,384,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-6_1,6-Feb-2015,30,3.83,3.63,3.47,3.64,0.350,3.29,0.6250,0.0960,9,NA,1,0,Y,Y,Y,N,64,51,115,67,42,109,74,30,104,205,123,0.625,0.375,NA,,460,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-5_5,5-Feb-2015,30,2.13,1.23,1.70,1.69,0.080,1.61,0.7368,0.0474,3,NA,1,1,N,Y,Y,N,53,11,64,29,8,37,30,21,51,112,40,0.737,0.263,NA,,256,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-5_4,5-Feb-2015,30,4.43,5.63,4.63,4.90,0.132,4.77,0.9683,0.0269,1,241.909,3,1,N,Y,Y,Y,124,9,133,165,4,169,138,1,139,427,14,0.968,0.032,NA,,532,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-5_3,5-Feb-2015,30,3.70,2.37,2.30,2.79,0.115,2.67,0.8765,0.0412,2,395.789,0,0,N,Y,Y,Y,101,10,111,62,9,71,57,12,69,220,31,0.876,0.124,NA,,444,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-5_2,5-Feb-2015,30,6.37,6.77,5.67,6.27,0.130,6.14,0.9699,0.0207,0,588.789,2,0,N,Y,Y,Y,182,9,191,198,5,203,167,3,170,547,17,0.970,0.030,NA,,764,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
30_2-5_1,5-Feb-2015,30,4.30,4.20,4.67,4.39,0.295,4.09,0.9570,0.0672,3,518.746,0,1,N,Y,Y,Y,122,7,129,120,6,126,136,4,140,378,17,0.957,0.043,NA,,516,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-6_5,6-Feb-2015,20,10.47,9.07,6.77,8.77,0.372,8.39,0.9835,0.0424,2,395.320,2,3,N,Y,Y,Y,309,5,314,266,6,272,201,2,203,776,13,0.984,0.016,NA,,1256,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-6_4,6-Feb-2015,20,7.60,7.40,5.67,6.89,0.162,6.73,0.9887,0.0235,0,265.087,3,3,N,Y,Y,Y,226,2,228,219,3,222,168,2,170,613,7,0.989,0.011,NA,,912,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-6_3,6-Feb-2015,20,3.47,4.07,4.40,3.98,0.407,3.57,0.9693,0.1023,0,1021.912,1,1,N,Y,Y,Y,98,6,104,118,4,122,131,1,132,347,11,0.969,0.031,NA,,416,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-6_2,6-Feb-2015,20,4.20,3.03,3.20,3.48,0.402,3.08,0.7987,0.1156,2,NA,0,1,N,Y,Y,N,101,25,126,75,16,91,74,22,96,250,63,0.799,0.201,NA,,504,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-6_1,6-Feb-2015,20,3.67,3.70,2.73,3.37,0.545,2.82,0.5776,0.1619,3,NA,3,2,N,Y,Y,N,61,49,110,77,34,111,37,45,82,175,128,0.578,0.422,NA,,440,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-5_5,5-Feb-2015,20,6.20,6.47,5.40,6.02,0.225,5.80,0.9539,0.0374,2,NA,2,1,N,Y,Y,N,169,17,186,187,7,194,161,1,162,517,25,0.954,0.046,NA,,744,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-5_4,5-Feb-2015,20,3.30,3.03,4.33,3.56,0.163,3.39,0.9781,0.0458,0,37.499,2,0,N,Y,Y,Y,97,2,99,88,3,91,128,2,130,313,7,0.978,0.022,NA,,396,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-5_3,5-Feb-2015,20,4.27,5.37,3.50,4.38,0.075,4.30,0.9695,0.0171,0,NA,0,2,N,Y,Y,N,125,3,128,159,2,161,98,7,105,382,12,0.970,0.030,NA,,512,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-5_2,5-Feb-2015,20,4.93,3.30,4.70,4.31,0.195,4.12,0.9536,0.0452,4,NA,1,0,N,Y,Y,N,138,10,148,96,3,99,136,5,141,370,18,0.954,0.046,NA,,592,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
20_2-5_1,5-Feb-2015,20,3.17,2.90,2.30,2.79,0.252,2.54,0.9044,0.0904,3,584.777,0,0,N,Y,Y,Y,82,13,95,80,7,87,65,4,69,227,24,0.904,0.096,NA,,380,,NA,NA,NA,NA,,,,,,,,,,,,,,,,
